date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:55	36515/36515	---M--	200	added ('OK')	image/jpeg	etag:%22e77cb8f2294fa3f98aa396f26051c6d6-ssl%22	https://comeout.netlify.app/demo/default/img/blog/blog-thum-3.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/blog/blog-thum-3.jpg	(from https://comeout.netlify.app/demo/default/css/main.css)
21:19:55	68637/68637	---M--	200	added ('OK')	image/jpeg	etag:%220cbb3ca5c911dbed1ef5c2967fed25d5-ssl%22	https://comeout.netlify.app/demo/default/img/blog/blog-thum-1.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/blog/blog-thum-1.jpg	(from https://comeout.netlify.app/demo/default/css/main.css)
21:19:56	70519/70519	---M--	200	added ('OK')	image/jpeg	etag:%220ed8cf7d23b9370e46c4219daf1c5bf6-ssl%22	https://comeout.netlify.app/demo/default/img/blog/page-title-bg.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/blog/page-title-bg.jpg	(from https://comeout.netlify.app/demo/default/css/page.css)
21:19:56	47889/47889	---M--	200	added ('OK')	image/jpeg	etag:%2209667b6809f220374c481b72ffaa4e61-ssl%22	https://comeout.netlify.app/demo/default/img/blog/blog-thum-2.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/blog/blog-thum-2.jpg	(from https://comeout.netlify.app/demo/default/css/main.css)
21:19:57	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/favicon.ico	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/favicon.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
21:19:58	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/css/plugins/animate.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/css/plugins/animate.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
21:19:59	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/style.css	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/style.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
21:20:00	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/js/vendor/modernizr-2.6.2.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/js/vendor/modernizr-2.6.2.min.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
21:20:01	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/img/preloader.svg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/img/preloader.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
21:20:02	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/js/jquery-3.2.1.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/js/jquery-3.2.1.min.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
21:20:02	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/js/bootstrap.min.js	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/js/bootstrap.min.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png)
